"","site_id","latitude","longitude","elevation_in_meters","state","species_id","common_name","individual_id","phenophase_id","phenophase_description","observation_date","day_of_year","year","number_observers","open_flower_estimate","over_500","max_flowers","near_max_threshold","is_near_max","peak"
"1",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-01-04",4,2013,1,0,0,53.2,39.9,0,0
"2",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-01-11",11,2013,1,0,0,53.2,39.9,0,0
"3",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-01-21",21,2013,1,0,0,53.2,39.9,0,0
"4",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-01-30",30,2013,1,0,0,53.2,39.9,0,0
"5",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-02-06",37,2013,1,0,0,53.2,39.9,0,0
"6",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-02-13",44,2013,1,0,0,53.2,39.9,0,0
"7",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-02-20",51,2013,1,0,0,53.2,39.9,0,0
"8",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-02-27",58,2013,1,0,0,53.2,39.9,0,0
"9",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-03-08",67,2013,1,0,0,53.2,39.9,0,0
"10",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-03-15",74,2013,1,0,0,53.2,39.9,0,0
"11",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-03-27",86,2013,1,0,0,53.2,39.9,0,0
"12",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-04-04",94,2013,1,0,0,53.2,39.9,0,0
"13",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-04-12",102,2013,1,0,0,53.2,39.9,0,0
"14",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-04-19",109,2013,1,0,0,53.2,39.9,0,0
"15",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-04-26",116,2013,1,0,0,53.2,39.9,0,0
"16",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-05-07",127,2013,1,0,0,53.2,39.9,0,0
"17",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-05-14",134,2013,1,0,0,53.2,39.9,0,0
"18",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-05-22",142,2013,1,0,0,53.2,39.9,0,0
"19",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-05-29",149,2013,1,0,0,53.2,39.9,0,0
"20",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-06-06",157,2013,1,8.4,0,53.2,39.9,0,0
"21",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-06-15",166,2013,1,0,0,53.2,39.9,0,0
"22",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-06-27",178,2013,1,53.2,0,53.2,39.9,1,1
"23",5206,36.902622,-76.206039,3,"VA",201,"common buttonbush",10212,500,"Flowers or flower buds","2013-07-08",189,2013,1,53.2,0,53.2,39.9,1,1
